feature,importance
type_token_ratio,0.08906070627512896
hapax_legomenon_ratio,0.08647983202479713
noun_ratio,0.08454702458264043
flesch_kincaid_grade,0.05832932703196602
avg_word_length,0.055094669231413096
char_count,0.053271712161545984
coleman_liau_index,0.05033538525239127
gunning_fog,0.04949329049914378
unique_word_count,0.038275660351956294
function_word_ratio,0.03773764995724466
adv_ratio,0.03478793192853878
avg_sentence_length,0.03429679579037806
word_count,0.03419980088878832
verb_ratio,0.03365615767533939
smog_index,0.033051600167223326
flesch_reading_ease,0.03208353483699315
adj_ratio,0.030484424168093653
punctuation_density,0.022160620311097688
adp_ratio,0.020899978763642486
colon_count,0.02046629048513558
comma_count,0.019633448124593986
entity_density,0.017752815433379657
aux_ratio,0.016893039289291055
sentence_count,0.013211051740662665
entity_count,0.012305498783885462
negation_count,0.010132706812741778
discourse_marker_count,0.007015023503367852
semicolon_count,0.0028095575785499465
question_count,0.0014826944405588202
exclamation_count,5.177190951069257e-05
